ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforce,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change
CAN1996,Canada,CAN,1996,0.522403482,,,64.24199677,,,9.600000381000001,,,1.570531125,,
CAN1997,Canada,CAN,1997,3.183363787,2.6609603049999997,5.093687918795304,64.44000244,0.19800567000000058,0.0030821842401458355,9.100000381000001,-0.5,-0.05208333126627607,1.621216381,0.050685255999999956,0.032272684821830655
CAN1998,Canada,CAN,1998,2.986425101,-0.19693868599999975,-0.061864963974348264,64.69999695,0.2599945099999985,0.0040346756696987285,8.300000191,-0.8000001900000004,-0.08791210511049319,0.9959424570000001,-0.6252739239999999,-0.38568196776689234
CAN1999,Canada,CAN,1999,4.296712274,1.3102871729999999,0.4387477096148342,65.09400177,0.39400482000000636,0.006089719297892593,7.599999905,-0.7000002860000007,-0.0843373819146459,1.7348429509999999,0.7389004939999998,0.7419108290912029
CAN2000,Canada,CAN,2000,4.258017061,-0.03869521299999956,-0.009005772444701465,65.28900146,0.19499968999998885,0.002995662959683898,6.8000001910000005,-0.7999997139999993,-0.1052631215789468,2.719439957,0.9845970060000002,0.5675424426357774
CAN2001,Canada,CAN,2001,0.748589119,-3.5094279420000003,-0.8241930203012872,65.39800262,0.10900116000000537,0.0016695179519139458,7.1999998089999995,0.39999961799999895,0.05882347158304646,2.52512014,-0.19431981700000023,-0.07145582181353538
CAN2002,Canada,CAN,2002,2.090014217,1.3414250979999998,1.7919377452238918,66.35199738,0.9539947600000005,0.014587521358156108,7.6999998089999995,0.5,0.06944444628665125,2.258394409,-0.26672573099999974,-0.10562892702602256
CAN2003,Canada,CAN,2003,0.7931208359999999,-1.2968933809999998,-0.6205189277906238,67.06400299,0.7120056100000056,0.010730733634472633,7.599999905,-0.0999999039999997,-0.012987000841625518,2.7585632139999996,0.5001688049999995,0.22147097203515953
CAN2004,Canada,CAN,2004,2.05816244,1.2650416039999999,1.5950174886087596,67.00700378,-0.056999210000000744,-0.0008499225733438198,7.1999998089999995,-0.4000000960000003,-0.05263159223684233,1.857258719,-0.9013044949999995,-0.3267296868260202
CAN2005,Canada,CAN,2005,2.188914999,0.13075255900000027,0.06352878492914305,66.63800049,-0.3690032900000091,-0.005506936128819251,6.8000001910000005,-0.39999961799999895,-0.055555503973763964,2.213552034,0.35629331500000005,0.19183827829428002
CAN2006,Canada,CAN,2006,1.808912962,-0.3800020370000001,-0.17360292070436867,66.58799744,-0.050003050000000826,-0.000750368402898105,6.3000001910000005,-0.5,-0.07352940969939448,2.002025395,-0.21152663900000013,-0.09555982229058368
CAN2007,Canada,CAN,2007,1.077673059,-0.7312399029999999,-0.4042427238685461,67.07099915,0.4830017100000106,0.007253585159025411,6.0,-0.3000001910000005,-0.0476190764928186,2.138383993,0.13635859800000016,0.06811032384531779
CAN2008,Canada,CAN,2008,-0.08676893599999999,-1.164441995,-1.0805150831927774,67.31400299,0.24300384000000008,0.003623083643894187,6.099999905,0.09999990499999978,0.016666650833333296,2.370270674,0.23188668099999976,0.10844015001939811
CAN2009,Canada,CAN,2009,-4.054323962,-3.967555026,45.725523544509066,66.78800201,-0.5260009800000063,-0.00781413905927042,8.300000191,2.2000002860000007,0.3606557902069345,0.299466803,-2.070803871,-0.8736571285782191
CAN2010,Canada,CAN,2010,1.941577559,5.9959015209999995,-1.4788905813146265,66.60600281,-0.1819991999999928,-0.0027250283662137997,8.100000381000001,-0.19999980999999956,-0.02409636209609567,1.776871541,1.477404738,4.933450797215744
CAN2011,Canada,CAN,2011,2.127591675,0.18601411600000017,0.09580565820703346,66.40100098,-0.2050018300000005,-0.0030778281438804678,7.5,-0.600000381000001,-0.0740741176268842,2.912135089,1.135263548,0.6389114360856321
CAN2012,Canada,CAN,2012,0.551584748,-1.5760069270000001,-0.7407468949604721,66.27500153,-0.125999450000009,-0.001897553472694824,7.3000001910000005,-0.19999980899999947,-0.026666641199999952,1.5156782309999999,-1.396456858,-0.4795302468195355
CAN2013,Canada,CAN,2013,1.294737009,0.7431522610000001,1.3473038616361452,66.16999817,-0.10500335999999777,-0.0015843584696481061,7.099999905,-0.20000028600000075,-0.027397298735221454,0.938291898,-0.5773863329999999,-0.3809425517836047
CAN2014,Canada,CAN,2014,1.442497731,0.1477607219999999,0.11412412016717122,65.73500061,-0.43499755999999934,-0.006573939429202147,6.900000095,-0.19999980999999956,-0.028168987700852632,1.9066359069999999,0.9683440089999998,1.03202853084851
CAN2015,Canada,CAN,2015,0.08555025599999999,-1.3569474750000001,-0.940692970143743,65.55999756,-0.17500305000000083,-0.002662250678877709,6.900000095,0.0,0.0,1.125241361,-0.7813945459999998,-0.40982892597962584
CAN2016,Canada,CAN,2016,0.24348478699999998,0.157934531,1.8461023775311673,65.40399933,-0.15599822999999446,-0.002379472785325021,7.072999954,0.17299985899999992,0.025072442988133048,1.4287595469999999,0.3035181859999998,0.2697360730948102
DEU1996,Germany,DEU,1996,0.526477107,,,58.56600189,,,8.824999809,,,1.446061036,,
DEU1997,Germany,DEU,1997,1.700290726,1.173813619,2.2295625078337924,58.75099945,0.18499755999999934,0.003158787590579637,9.862999916,1.0380001070000002,0.11762041127087808,1.8801923919999999,0.43413135599999997,0.30021648131870426
DEU1998,Germany,DEU,1998,1.964176139,0.2638854130000001,0.1552001719263627,59.07899857,0.3279991200000012,0.005582868769392402,9.788000107,-0.07499980899999947,-0.00760415792748137,0.935622318,-0.9445700739999999,-0.5023794788336746
DEU1999,Germany,DEU,1999,1.921237294,-0.042938845000000114,-0.021860995125346117,58.7859993,-0.2929992700000028,-0.004959448824320201,8.854999542,-0.9330005650000004,-0.09532085766251208,0.569776342,-0.3658459759999999,-0.39101886408827624
DEU2000,Germany,DEU,2000,2.822696604,0.9014593099999999,0.4692076886156884,58.5530014,-0.23299790000000087,-0.003963493055735179,7.916999817000001,-0.9379997249999992,-0.10592882817791105,1.471334348,0.901558006,1.582301579660884
DEU2001,Germany,DEU,2001,1.524537695,-1.2981589089999999,-0.45990026245130233,58.43399811,-0.11900329000000198,-0.002032402902577779,7.772999763,-0.14400005400000104,-0.01818871508507458,1.9838568509999999,0.5125225029999998,0.3483385701534645
DEU2002,Germany,DEU,2002,-0.16798706300000002,-1.692524758,-1.1101888549892498,58.06499863,-0.3689994799999994,-0.0063148080216138824,8.482000351,0.7090005880000003,0.09121325223434207,1.4208067130000002,-0.5630501379999997,-0.2838159102639809
DEU2003,Germany,DEU,2003,-0.7648612340000001,-0.5968741710000001,3.5530960559742626,57.49300003,-0.5719986000000006,-0.00985100514071946,9.779000282,1.2969999310000002,0.1529120345823951,1.0342233920000001,-0.38658332100000004,-0.2720872005057876
DEU2004,Germany,DEU,2004,1.191936522,1.956797756,-2.5583696349290985,57.99700165,0.5040016200000039,0.008766312763936801,10.72700024,0.9479999580000005,0.09694242056061331,1.665736088,0.6315126959999999,0.6106153669361212
DEU2005,Germany,DEU,2005,0.763909706,-0.42802681600000003,-0.35910202271660907,58.49100113,0.4939994799999994,0.008517672740759652,11.16699982,0.4399995799999985,0.04101795191159607,1.546910755,-0.11882533299999998,-0.07133502951399107
DEU2006,Germany,DEU,2006,3.817196752,3.0532870460000003,3.996921392696639,58.875,0.3839988699999992,0.006565093135378897,10.25,-0.9169998199999991,-0.08211693693749866,1.577429241,0.030518485999999845,0.019728666247458948
DEU2007,Germany,DEU,2007,3.39870617,-0.418490582,-0.10963296083198593,59.19800186,0.323001859999998,0.005486231167728173,8.657999992,-1.5920000079999994,-0.1553170739512194,2.29834058,0.7209113390000002,0.45701659400137884
DEU2008,Germany,DEU,2008,1.274699038,-2.124007132,-0.6249457957702769,59.22200012,0.02399825999999905,0.00040538969637449185,7.525000095,-1.1329998970000004,-0.13086161908603522,2.6283830669999997,0.3300424869999996,0.1436003392499816
DEU2009,Germany,DEU,2009,-5.37941105,-6.6541100879999995,-5.220142080314333,59.37099838,0.14899826000000616,0.0025159275218347155,7.742000103,0.2170000079999994,0.028837210001390723,0.312737723,-2.3156453439999996,-0.8810151659678152
DEU2010,Germany,DEU,2010,4.239504345,9.618915395,-1.7880982333558615,59.41799927,0.04700088999999963,0.0007916472904696548,6.96600008,-0.7760000229999999,-0.10023249969982595,1.103808561,0.7910708379999999,2.5295024546814897
DEU2011,Germany,DEU,2011,5.599481428,1.3599770829999995,0.32078681193095915,59.97399902,0.555999749999998,0.009357429681761786,5.823999882000001,-1.142000197999999,-0.16393915947241833,2.075172931,0.9713643700000001,0.8800116291179954
DEU2012,Germany,DEU,2012,0.30351838600000003,-5.2959630419999995,-0.9457952687400181,59.92599869,-0.0480003300000007,-0.0008003523324164874,5.379000187000001,-0.4449996949999999,-0.07640791621156151,2.0084911819999998,-0.06668174900000023,-0.03213310466991637
DEU2013,Germany,DEU,2013,0.21572204600000003,-0.08779634,-0.2892620152507005,60.24599838,0.31999969000000306,0.005339914177406868,5.230999947,-0.1480002400000009,-0.02751445154392984,1.5047222669999998,-0.503768915,-0.2508195801479003
DEU2014,Germany,DEU,2014,1.172691706,0.9569696599999999,4.4361236032408105,60.36800003,0.1220016499999943,0.002025058149596415,4.980999947,-0.25,-0.04779200966028996,0.906797035,-0.5979252319999998,-0.3973658429286737
DEU2015,Germany,DEU,2015,0.84393513,-0.32875657599999997,-0.2803435671267551,60.34000015,-0.02799987999999587,-0.00046381990435462317,4.624000072,-0.35699987499999963,-0.0716723306160677,0.234429945,-0.67236709,-0.7414747336486384
DEU2016,Germany,DEU,2016,0.658329724,-0.18560540599999997,-0.21992852223132364,60.26699829,-0.07300186000000508,-0.0012098418929156196,4.31099987,-0.31300020200000045,-0.06769035404980428,0.48335542200000003,0.24892547700000003,1.061833107540933
FRA1996,France,FRA,1996,1.029646983,,,55.54199982,,,12.84500027,,,2.004778228,,
FRA1997,France,FRA,1997,1.9759612819999999,0.946314299,0.9190667428974539,55.18000031,-0.36199951000000397,-0.00651758149100079,13.05599976,0.21099949000000073,0.01642658509652173,1.221995927,-0.7827823010000001,-0.39045830110641044
FRA1998,France,FRA,1998,3.175182483,1.199221201,0.6069052121234835,55.21099854,0.03099823000000157,0.00056176567281363,12.61499977,-0.4409999899999999,-0.03377757338439169,0.595238095,-0.626757832,-0.5128968257191253
FRA1999,France,FRA,1999,2.876491076,-0.29869140699999974,-0.0940706269952043,55.42499924,0.2140006999999997,0.003876051976219097,12.51399994,-0.10099983000000101,-0.008006328326710777,0.533377781,-0.06186031400000003,-0.10392532756157014
FRA2000,France,FRA,2000,3.1661201410000004,0.2896290650000002,0.10068832384585513,55.33200073,-0.09299851000000103,-0.0016779163062736746,10.74300003,-1.7709999100000005,-0.14152148941116272,1.6994114230000001,1.1660336420000001,2.1861308879681287
FRA2001,France,FRA,2001,1.215127417,-1.9509927240000005,-0.6162093152232028,54.98300171,-0.3489990199999937,-0.006307363106260677,9.109999657000001,-1.633000372999998,-0.1520059916633918,1.630257581,-0.06915384200000019,-0.04069281932795399
FRA2002,France,FRA,2002,0.385760676,-0.8293667409999999,-0.6825347937976779,55.16600037,0.18299865999999554,0.0033282770003209006,9.168999672,0.05900001499999874,0.00647640145130679,1.916907283,0.28664970200000006,0.1758309271742009
FRA2003,France,FRA,2003,0.10747347,-0.278287206,-0.7213985854794593,55.83100128,0.6650009100000034,0.012054542753504371,8.793999672,-0.375,-0.04089868179897127,2.1090737390000003,0.19216645600000026,0.10024817460094138
FRA2004,France,FRA,2004,2.032366715,1.9248932450000003,17.91040379546692,55.68799973,-0.14300155000000103,-0.0025613287729308043,9.402000427,0.6080007550000008,0.06913813710226413,2.134874759,0.02580101999999984,0.012233341832909694
FRA2005,France,FRA,2005,0.844668773,-1.1876979420000002,-0.5843915535686187,55.76399994,0.07600020999999657,0.0013647502221030283,8.946000098999999,-0.4560003280000018,-0.04850035176455558,1.735587081,-0.3992876780000001,-0.18703096109817285
FRA2006,France,FRA,2006,1.663680076,0.8190113029999999,0.9696242233403838,55.64799881,-0.11600113000000079,-0.0020802153741628082,8.93599987,-0.010000228999999194,-0.0011178436048885354,1.68372645,-0.051860631000000046,-0.029880742699536222
FRA2007,France,FRA,2007,1.73013171,0.06645163400000009,0.039942555638323496,55.72100067,0.07300186000000508,0.001311850588720409,8.053999901000001,-0.8819999689999989,-0.0987018780026011,1.4880735280000001,-0.19565292199999984,-0.11620232134501407
FRA2008,France,FRA,2008,-0.36309233700000004,-2.093224047,-1.2098639860198852,55.75600052,0.03499984999999839,0.0006281267310197514,7.484000206,-0.5699996950000008,-0.07077225006288224,2.813915043,1.325841515,0.8909784967292287
FRA2009,France,FRA,2009,-3.4394122680000003,-3.0763199310000005,8.472555373703742,55.95800018,0.20199965999999847,0.0036229223422785672,9.147000313,1.6630001069999993,0.22220738391572392,0.088084169,-2.725830874,-0.9686969337545845
FRA2010,France,FRA,2010,1.463151139,4.902563407000001,-1.4254073152593638,55.875,-0.08300017999999909,-0.0014832585105438723,9.303999901000001,0.15699958800000147,0.017164051888887366,1.5296393819999998,1.4415552129999998,16.36565604654793
FRA2011,France,FRA,2011,1.586720162,0.12356902299999994,0.08445403875668922,55.69800186,-0.17699814000000202,-0.0031677519463088055,9.248000145,-0.05599975600000029,-0.0060188904337780125,2.117486809,0.587847427,0.3843045844121711
FRA2012,France,FRA,2012,-0.301002029,-1.887722191,-1.1897007652695346,55.875,0.17699814000000202,0.0031778184870059345,9.81499958,0.5669994349999996,0.06131049157763613,1.9556855,-0.1618013089999999,-0.07641195605672357
FRA2013,France,FRA,2013,0.059969465,0.360971494,-1.1992327599891361,55.67200089,-0.20299911000000037,-0.00363309369127518,10.35200024,0.5370006600000004,0.054712244827217926,0.86360693,-1.09207857,-0.5584121628963348
FRA2014,France,FRA,2014,0.440219969,0.380250504,6.340735305876082,55.43299866,-0.23900222999999698,-0.004293041855496282,10.30500031,-0.046999930000000134,-0.004540178604168998,0.507700673,-0.355906257,-0.41211602713748485
FRA2015,France,FRA,2015,0.62433474,0.184114771,0.41823357404307115,55.15800095,-0.27499771000000095,-0.004960902650904875,10.35900021,0.0539998999999991,0.005240164810824677,0.037803733,-0.46989694,-0.9255393285641754
