,ctryyear,ctry,ctrycode,year,gdp,gdpdelta,gdp%change,lforcedelta,lforce%change,unemp,unempdelta,unemp%change,inflation,inflationdelta,inflation%change,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change
22,ARG1997,Argentina,ARG,1997,6.861143328,2.600272704,0.6102679319464829,-0.07600021000000368,-0.0013111396498461936,14.89999962,-2.3000011400000027,-0.1337209906030261,0.5272582570000001,0.3715623560000001,2.3864620302367503,13.9285176355881,0.5269950093655993,0.03932351748856045,13.9016879168767,0.9009896279002004,0.06930317186609614,18.7917367341498,0.1847676978819024,0.009930026621840504,10.54676435637,0.4212984466016003,0.041607808505400135,4.82757628214958,-0.3040782396726609,-0.0592553996726739
23,ARG1998,Argentina,ARG,1998,2.68214197,-4.179001358,-0.6090823581757422,-0.025001529999997274,-0.00043188740565414113,12.80000019,-2.0999994299999987,-0.14093956265483445,0.920336467,0.39307821,0.7455136164894616,15.667425256635196,1.7389076210470975,0.12484513187563452,14.427533399397301,0.5258454825206016,0.03782601693152832,21.292271347611607,2.5005346134618023,0.13306564735539506,13.157098610269802,2.6103342538998024,0.2475009553354837,7.47182580367278,2.6442495215232005,0.547738526949965
24,ARG1999,Argentina,ARG,1999,-4.457046577,-7.139188547000001,-2.6617489405305417,0.0010032699999982242,1.733841468909425e-05,14.10000038,1.3000001900000004,0.10156251333618148,-1.16689547,-2.0872319370000003,-2.267900938233712,14.7564830011707,-0.910942255464498,-0.058142435055096975,13.1057328835098,-1.3218005158875012,-0.0916165278773653,20.0425053385506,-1.249766009061002,-0.05869575813015315,12.8341032798606,-0.3229953304092028,-0.02454913047144669,7.44196227497465,-0.029863528698129468,-0.003996818111504985
25,ARG2000,Argentina,ARG,2000,-1.885010517,2.5720360600000003,-0.5770718379459288,0.005996700000004296,0.00010363259009604775,15.02000046,0.9200000799999994,0.06524823086565057,-0.935939412,0.230956058,-0.19792351923347504,14.4941541793745,-0.26232882179620104,-0.01777719133857225,13.0921577618698,-0.013575121640000631,-0.001035815529025541,19.5501271326049,-0.4923782059457018,-0.02456669950331214,12.6930003310402,-0.1411029488204001,-0.010994375356307096,6.25534234728397,-1.18661992769068,-0.15944987139762434
26,ARG2001,Argentina,ARG,2001,-5.465113906,-3.5801033890000005,1.8992484958109124,0.2090034499999973,0.003611540423540172,17.39999962,2.3799991599999992,0.158455332031328,-1.066635508,-0.13069609599999998,0.13964162030608018,13.505821450802696,-0.9883327285718018,-0.06818836865818778,13.546868969796698,0.4547112079268985,0.03473157108228708,16.8580118047312,-2.6921153278737013,-0.13770321336600932,11.428905659510901,-1.2640946715292978,-0.0995899029828281,5.8957631484420885,-0.35957919884188083,-0.05748353629246328
27,ARG2002,Argentina,ARG,2002,-11.87718049,-6.412066584000001,1.173272267383186,0.19299697999999665,0.003322950652875356,19.60000038,2.2000007600000018,0.12643682804862055,25.86849787,26.935133378000003,-25.25242519678053,12.013380843427598,-1.4924406073750998,-0.11050350493759853,13.249907125912399,-0.2969618438842989,-0.021921068591302384,15.0370048721694,-1.821006932561799,-0.10802026678203737,10.3810377682601,-1.0478678912508013,-0.0916857591154221,4.9905492180405,-0.9052139304015894,-0.15353634595052978
28,ARG2003,Argentina,ARG,2003,7.643794185,19.520974675,-1.6435697589537934,0.17500305000000085,0.0030031584708829486,16.03000069,-3.5699996899999995,-0.1821428377951898,13.44284929,-12.42564858,-0.4803390070209748,12.873797569826698,0.8604167263990998,0.0716215308257564,13.753419750908597,0.5035126249961994,0.03800121919432154,17.8816023565647,2.8445974843952992,0.18917314375950636,10.0932508727116,-0.2877868955484999,-0.02772236282854157,4.4140308440490585,-0.5765183739914406,-0.1155220295007542
29,ARG2004,Argentina,ARG,2004,7.849106146,0.2053119610000005,0.026859954105370898,3.653999330000005,0.06251709577262199,13.52200031,-2.508000380000002,-0.15645666076387432,4.415717923,-9.027131367,-0.6715191974751359,12.2124977655533,-0.6612998042733977,-0.05136788897654698,10.877364714962802,-2.8760550359457966,-0.2091156300058241,19.1545585741689,1.2729562176042002,0.0711880396522111,9.66224071775179,-0.4310101549598109,-0.04270280808387539,4.30908497748964,-0.10494586655941962,-0.023775517269188584
30,ARG2005,Argentina,ARG,2005,7.69268852,-0.15641762600000053,-0.019928081375191087,0.06699752999999475,0.001078830451775925,11.50599957,-2.016000739999999,-0.14909042255450144,9.639399546,5.223681623,1.182974482086273,11.7387779232095,-0.4737198423437992,-0.03878975877317892,11.042077334221801,0.16471261925899938,0.015142695273646868,17.8484479607822,-1.3061106133867,-0.06818797772495111,8.780155287307709,-0.8820854304440804,-0.09129201561119082,3.3518813119823,-0.9572036655073402,-0.22213617751975312
31,ARG2006,Argentina,ARG,2006,6.918027086,-0.7746614339999995,-0.10070100095512502,-0.01899719000000033,-0.00030557336278747016,9.449999809,-2.0559997610000007,-0.17868936536037094,10.90112453,1.2617249840000009,0.1308924874395907,11.915967910475302,0.17718998726580182,0.01509441514482246,11.1584088896815,0.11633155545969842,0.010535296207278,17.9316086486077,0.0831606878255009,0.004659267181562621,8.63576878623991,-0.1443865010677996,-0.01644464093664944,3.4561865534986502,0.10430524151635057,0.031118417332821613
