,year,ctrycode,All Products_tariff,All Products_delta,All Products_%change,Capital goods_tariff,Capital goods_delta,Capital goods_%change,Consumer goods_tariff,Consumer goods_delta,Consumer goods_%change,Intermediate goods_tariff,Intermediate goods_delta,Intermediate goods_%change,Raw materials_tariff,Raw materials_delta,Raw materials_%change,Animal_tariff,Animal_delta,Animal_%change,Chemicals_tariff,Chemicals_delta,Chemicals_%change,Food Products_tariff,Food Products_delta,Food Products_%change,Footwear_tariff,Footwear_delta,Footwear_%change,Fuels_tariff,Fuels_delta,Fuels_%change,Hides and Skins_tariff,Hides and Skins_delta,Hides and Skins_%change,Mach and Elec_tariff,Mach and Elec_delta,Mach and Elec_%change,Metals_tariff,Metals_delta,Metals_%change,Minerals_tariff,Minerals_delta,Minerals_%change,Miscellaneous_tariff,Miscellaneous_delta,Miscellaneous_%change,Plastic or Rubber_tariff,Plastic or Rubber_delta,Plastic or Rubber_%change,Stone and Glass_tariff,Stone and Glass_delta,Stone and Glass_%change,Textiles and Clothing_tariff,Textiles and Clothing_delta,Textiles and Clothing_%change,Transportation_tariff,Transportation_delta,Transportation_%change,Vegetable_tariff,Vegetable_delta,Vegetable_%change,Wood_tariff,Wood_delta,Wood_%change,ctryyear
0,1996,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW1996
1,1997,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW1997
2,1998,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW1998
3,1999,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW1999
4,2000,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2000
5,2001,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2001
6,2002,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2002
7,2003,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2003
8,2004,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2004
9,2005,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2005
10,2006,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW2006
