,ctryname,ctrycode,isReporter
0,Aruba,ABW,1
1,Argentina,ARG,1
2,Antigua and Barbuda,ATG,1
3,"Bahamas, The",BHS,1
4,Belize,BLZ,1
5,Bolivia,BOL,1
6,Brazil,BRA,1
7,Barbados,BRB,1
8,Chile,CHL,1
9,Colombia,COL,1
10,Costa Rica,CRI,1
11,Cuba,CUB,1
12,Dominica,DMA,1
13,Dominican Republic,DOM,1
14,Ecuador,ECU,1
15,Grenada,GRD,1
16,Guatemala,GTM,1
17,Guyana,GUY,1
18,Honduras,HND,1
19,Haiti,HTI,1
20,Jamaica,JAM,1
21,St. Kitts and Nevis,KNA,1
22,St. Lucia,LCA,1
23,Mexico,MEX,1
24,Nicaragua,NIC,1
25,Panama,PAN,1
26,Peru,PER,1
27,Paraguay,PRY,1
28,El Salvador,SLV,1
29,Suriname,SUR,1
30,Trinidad and Tobago,TTO,1
31,Uruguay,URY,1
32,St. Vincent and the Grenadines,VCT,1
