Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.00099945,51.06299973,51.13899994,51.18999863,51.20299911,51.19200134,51.11399841,51.01900101,50.93799973,50.89500046,50.64799881,50.82500076,51.04999924,51.28699875,51.50400162,51.68799973,51.55199814,51.40999985,51.29399872,51.23699951,51.25999832,51.45999908,51.73500061,52.06700134,52.43399811,52.50699997,52.5340004
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.48799896,69.53800201,69.77799988,70.53500366,70.51100159,70.34799957,70.15000153,70.02700043,69.93299866,69.93199921,69.94000244,69.91799927,69.63200378,69.60600281,69.40699768,68.98400116,68.5490036,68.05400085,67.8010025,67.99099731,68.17199707,68.22799683,68.27600098,68.31300354,68.39800262,68.35500336,68.30500031
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.13899994,65.03199768,64.96099854,64.4469986,63.8730011,63.08300018,62.85100174,63.40999985,63.11600113,62.8409996,62.58599854,62.06499863,61.65599823,60.42300034,59.18600082,57.98899841,57.0019989,56.11100006,55.2840004,54.49000168,53.86500168,52.99200058,52.11600113,51.24300003,50.37799835,50.30599976,50.32699966
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.18996175,48.71739296,48.21868003,48.38654134,48.76587886,48.77176442,48.6029492,48.35551142,48.09491439,48.40821032,48.23484452,47.93911378,47.57659688,47.84988188,48.13534703,48.34619399,48.06359923,48.43776437,48.65534421,48.7391059,49.10756472,49.21171622,49.36802939,49.6431123,49.70226073,49.84270828,49.89802546
United Arab Emirates,ARE,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.84200287,73.00299835,73.43299866,74.04399872,74.70600128,75.34200287,74.8730011,74.70500183,74.90499878,75.4260025,76.11100006,75.46099854,75.34600067,75.75099945,76.62999725,77.81999969,77.66899872,78.09700012,78.84100342,79.5490036,80.70400238,80.77700043,80.64299774,80.38400269,80.13800049,80.06400299,79.47599792
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.63199997,57.51200104,57.49300003,57.61600113,57.76499939,58.10200119,57.96500015,57.88899994,57.86399841,57.86500168,57.87099838,58.08000183,58.27299881,58.44800186,62.10200119,62.16899872,62.15000153,61.53900146,60.94900131,61.22900009,60.47100067,60.0719986,60.2820015,60.61999893,60.90499878,60.97900009,61.02500153
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.17100143,60.07099915,59.66500092,59.30500031,59.06900024,58.74000168,58.36700058,57.98400116,57.61800003,57.29700089,57.01300049,56.85300064,57.07600021,57.24100113,57.42699814,57.61899948,57.8409996,58.10900116,58.57400131,59.29000092,61.57899857,63.02399826,62.70100021,62.9090004,63.04199982,63.32899857,63.55099869
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.87900162,63.28300095,62.98899841,62.68299866,63.08000183,63.77799988,63.6629982,63.34799957,63.2859993,63.11899948,63.49599838,63.55400085,63.5719986,63.74499893,63.60400009,64.51100159,64.88999939,65.34300232,65.60600281,65.49900055,65.54100037,65.59999847,65.27300262,65.01699829,64.7990036,64.70200348,64.59899902
