Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.207000017,1.062000036,1.388000011,1.350999951,0.601999998,1.138000011,1.136999965,1.131999969,1.138000011,1.129999995,1.144999981,0.492000014,8.440999985,8.479000092,8.5,8.418000221,8.342000008,8.277999878,8.237999916,8.227999687,8.199999809,8.180000305,8.357000351,8.449000359,8.515999794,8.539999962,8.623999596
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.730999947,6.657999992,6.467000008,6.768000126,6.93900013,6.925000191,6.852000237,6.823999882,6.797999859,6.81099987,6.824999809,6.938000202,6.833000183,6.897999763,6.985000134,7.011000156,7.028999805,6.914000034,6.772999763,6.787000179,6.791999817,6.80700016,6.828000069,6.803999901,6.671000004,6.578999996,6.596000195
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.21000004,14.23600006,15.56499958,15.35099983,14.71100044,14.40499973,13.45499992,14.22999954,14.53600025,14.14799976,22.68000031,14.84599972,13.94999981,13.91399956,13.83199978,13.05599976,13.5,13,13.76000023,14.19999981,13.97700024,13.43799973,15.64000034,17.48999977,17.07999992,16.33300018,15.80000019
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.68133001,12.98723,13.59480228,13.79196365,14.63450997,14.15990996,13.70613388,13.46511219,12.31268202,13.03235475,12.90440941,13.1217817,13.49046326,12.53961103,11.87101925,11.09426119,10.67474876,10.39434775,10.03915,10.04188241,11.19767684,11.41956212,11.38203191,11.49168218,11.50293596,11.32483724,11.20446437
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.207000017,3.257999897,3.267999887,2.079999924,1.799999952,2.704999924,2.611000061,3.286000013,3.280999899,2.299999952,3.312999964,3.349999905,2.796000004,3.204999924,3.099999905,3.157000065,3.184000015,4,4.199999809,4.171000004,4.127999783,4.080999851,4.019999981,3.96600008,3.805000067,3.690999985,3.660000086
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.800000191,6.699999809,10.10000038,12.10000038,18.79999924,17.20000076,14.89999962,12.80000019,14.10000038,15.02000046,17.39999962,19.60000038,16.03000069,13.52200031,11.50599957,9.449999809,8.414999962,7.836999893,8.645000458,7.714000225,7.178999901,7.217000008,7.099999905,7.268000126,6.622000217,6.55700016,6.506000042
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.98699951,18.05400085,18.62800026,17.79500008,17.95899963,18.16600037,16.7329998,17.3409996,16.8939991,18.01600075,17.93899918,17.81200027,17.65099907,17.46899986,17.2329998,16.96699905,16.66600037,16.39999962,18.70000076,19,18.39999962,17.29999924,16.20000076,17.60000038,17.0340004,16.75900078,16.60300064
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
