Country Name,Country Code,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.322816475,4.087577084,3.856747566,-0.961873529,2.484959182,-2.391332678,-4.318151421,-1.749363126,5.275258147,-0.585808961,-0.918128747,1.542019924,-4.023940656,-7.003496639,-5.746497363,,,,,,,
Afghanistan,AFG,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.343150039,-3.361110893,6.954473818,2.200612989,10.64918383,1.040489085,17.951089,5.425967848,2.87964757,10.75025221,-1.365634467,-1.861662541,-1.820053338,-0.480285127
Angola,AGO,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,-0.13681689,5.041160751,2.887996613,-2.259303046,-3.119480374,-4.206512624,-9.878567961,-27.14594465,0.228039897,7.090915495,8.069843379,4.991744886,3.943625659,0.356499547,-0.065318099,0.892782766,-10.06165916,1.600823435,6.986761772,14.10725703,16.50538518,18.30014329,9.832743838,-1.17563581,-0.218978107,0.273790222,1.478269453,3.106958772,1.214530049,-0.46428231,-3.3115006
Albania,ALB,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,3.648648547,0.795840071,-1.016802172,-3.307497203,-0.290595348,3.614655544,-2.74949638,-3.262522334,6.923617284,-11.1879053,-29.16327149,-6.635518685,10.27078613,8.96687739,14.00202422,9.780180454,-10.27846136,9.697045988,14.22231692,7.34863863,8.958087716,4.544405735,6.16998247,6.152274487,6.263275587,6.098291609,6.703337826,8.358297751,4.04882152,4.226160907,2.826248691,1.58763457,1.295414822,2.010992195,2.88918343,3.62554457
Andorra,AND,GDP per capita growth (annual %),,,,,,,,,,,,-0.603684765,2.788907252,2.672409324,1.010490232,-3.33802602,-0.18117565,-0.280692815,-1.442215406,-3.064448989,-1.330760035,-3.948745552,-2.931372609,-2.595335898,-2.598351728,-2.023786568,-1.001824036,1.325672934,0.97048769,0.801682525,-0.142614682,-1.366129581,-2.87054458,-4.412622893,-0.403571698,0.869722421,3.820477136,9.123624337,3.492427355,3.730359531,-0.412269242,2.993819267,2.312526638,7.228055449,3.729374941,4.253115113,1.842546586,-1.969927467,-9.878237435,-4.50238126,-5.333406537,-4.009278746,-0.186854763,1.968911864,,,
Arab World,ARB,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,12.32309239,5.035913554,-4.027127668,7.980670625,5.655759652,-0.53214506,-11.79675606,-9.404885945,-1.952985379,-5.049180104,1.428350839,-3.462374663,2.633006521,-0.678365973,9.139972589,-1.150991929,2.91949256,0.528204552,0.644636501,-0.304363936,2.150023306,1.947173295,2.915048582,-0.290158385,3.192788229,-0.496033754,-1.514160184,3.087775572,6.956465136,3.342112357,4.025736075,2.086985619,3.271427201,-1.968184511,2.315762187,1.189912876,2.791967884,1.367340994,0.710620876,1.338250794,1.156275875
United Arab Emirates,ARE,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,-0.155603824,5.016093169,-13.61519023,8.250248138,13.13847938,-2.671914342,-12.10225886,-9.574056532,-1.143984975,-8.624147927,-19.64664592,-2.480259499,-8.213597024,5.928263127,11.70408288,-4.764047748,-2.430545788,-4.27875708,1.328857896,1.454001354,0.769829799,3.021721676,-4.589304758,-2.263865494,4.993252866,-3.817369066,-2.8587344,1.976395715,0.292826713,-6.401402099,-4.043543456,-10.50796174,-9.533910255,-14.7863097,-5.790464829,1.431369888,2.412506949,4.547034313,2.549316256,2.882540228,1.754730404
Argentina,ARG,GDP per capita growth (annual %),,3.747272986,-2.410453735,-6.771625636,8.464397201,8.934658915,-2.089312313,1.736490265,3.339587227,8.077918766,1.467827617,3.952346284,-0.07958247,1.056567923,3.759641824,-1.648657519,-3.536158716,5.337159335,-5.903559551,8.603164283,2.590354225,-7.134997709,-6.434328983,2.250238253,0.619319826,-9.009513139,6.23805756,1.36853798,-3.994374792,-8.838132385,-3.789115675,11.09415299,10.40666248,4.491865975,4.46663129,-4.057600675,4.260870624,6.861143328,2.68214197,-4.457046577,-1.885010517,-5.465113906,-11.87718049,7.643794185,7.849106146,7.69268852,6.918027086,7.885851981,2.995167422,-6.880148575,8.99143796,4.902125244,-2.060574637,1.338452934,-3.514195982,1.615899299,-3.255565152
Armenia,ARM,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.8708692,-40.74445044,-6.638380399,7.949829941,9.103492501,7.506971646,4.479543335,8.142264637,3.957685309,6.570295525,10.23657282,13.81149513,14.64886278,11.10084076,14.60487652,14.06880742,14.73596617,7.812918694,-13.56639792,2.600408784,4.762989356,6.964131302,2.886337179,3.146882343,2.621114517,-0.069477877
American Samoa,ASM,GDP per capita growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.155853114,0.288979994,-0.155634548,-3.401960784,3.278954291,-1.122713232,-2.869663016,1.507615499,0.868398308,-4.236589224,-3.350672071,1.186210804,0.910017206,
